Meter Number,Consumption,Date
4504504500,386,2016/10/01
4504504510,188,2016/10/01
4504504520,361,2016/10/01
4504504530,391,2016/10/01
4504504540,334,2016/10/01
4504504550,171,2016/10/01
4504504560,267,2016/10/01
4504504570,209,2016/10/01
4504504580,183,2016/10/01
4504504590,242,2016/10/01
4504504600,287,2016/10/01
4504504610,212,2016/10/01
4504504620,194,2016/10/01
4504504630,254,2016/10/01
4504504640,259,2016/10/01
4504504650,175,2016/10/01
4504504660,339,2016/10/01
4504504670,157,2016/10/01
4504504680,187,2016/10/01
4504504690,234,2016/10/01
4504504700,394,2016/10/01
4504504710,379,2016/10/01
4504504720,252,2016/10/01
4504504730,220,2016/10/01
4504504740,230,2016/10/01
4504504750,214,2016/10/01
4504504760,305,2016/10/01
4504504770,164,2016/10/01
4504504780,189,2016/10/01
4504504790,310,2016/10/01
4504504800,306,2016/10/01
4504504810,211,2016/10/01
4504504820,208,2016/10/01
4504504830,350,2016/10/01
4504504840,271,2016/10/01
4504504850,357,2016/10/01
4504504860,395,2016/10/01
4504504870,346,2016/10/01
4504504880,319,2016/10/01
4504504890,311,2016/10/01
4504504900,212,2016/10/01
4504504910,319,2016/10/01
4504504920,163,2016/10/01
4504504930,390,2016/10/01
4504504940,323,2016/10/01
4504504950,330,2016/10/01
4504504960,164,2016/10/01
4504504970,282,2016/10/01
4504504980,344,2016/10/01
4504504990,365,2016/10/01
4504505000,178,2016/10/01
4504505010,182,2016/10/01
4504505020,170,2016/10/01
4504505030,355,2016/10/01
4504505040,190,2016/10/01
4504505050,340,2016/10/01
4504505060,271,2016/10/01
4504505070,162,2016/10/01
4504505080,311,2016/10/01
4504505090,220,2016/10/01
4504505100,286,2016/10/01
4504505110,365,2016/10/01
4504505120,380,2016/10/01
4504505130,327,2016/10/01
4504505140,324,2016/10/01
4504505150,221,2016/10/01
4504505160,276,2016/10/01
4504505170,398,2016/10/01
4504505180,158,2016/10/01
4504505190,396,2016/10/01
4504505200,226,2016/10/01
4504505210,376,2016/10/01
4504505220,244,2016/10/01
4504505230,170,2016/10/01
4504505240,334,2016/10/01
4504505250,339,2016/10/01
4504505260,241,2016/10/01
4504505270,202,2016/10/01
4504505280,301,2016/10/01
4504505290,310,2016/10/01
4504505300,214,2016/10/01
4504505310,251,2016/10/01
4504505320,356,2016/10/01
4504505330,173,2016/10/01
4504505340,347,2016/10/01
4504505350,286,2016/10/01
4504505360,392,2016/10/01
4504505370,310,2016/10/01
4504505380,363,2016/10/01
4504505390,357,2016/10/01
4504505400,294,2016/10/01
4504505410,204,2016/10/01
4504505420,378,2016/10/01
4504505430,255,2016/10/01
4504505440,151,2016/10/01
4504505450,255,2016/10/01
4504505460,223,2016/10/01
4504505470,223,2016/10/01
4504505480,391,2016/10/01
4504505490,159,2016/10/01
